key,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,,,,date,time,,,location
00:06.0,2015-06-15 01:00:06 UTC,-73.98542023,40.73249435,-73.98557281,40.72766876,3,,,,15-06-2015,01:00:06,UTC,,"(40.73249435,-73.98542023)"
00:06.0,2015-06-15 01:00:06 UTC,-73.98805237,40.7207756,-73.99104309,40.71834564,6,,,,15-06-2015,01:00:06,UTC,,"(40.7207756,-73.98805237)"
00:08.0,2011-12-22 01:00:08 UTC,-73.983025,40.761511,-73.904826,40.745197,1,,,,22-12-2011,01:00:08,UTC,,"(40.761511,-73.983025)"
00:08.0,2011-12-22 01:00:08 UTC,-73.974075,40.764809,-73.988102,40.748731,1,,,,22-12-2011,01:00:08,UTC,,"(40.764809,-73.974075)"
00:22.0,2015-05-23 01:00:22 UTC,-73.9655304,40.77360916,-73.95401001,40.77481079,1,,,,23-05-2015,01:00:22,UTC,,"(40.77360916,-73.9655304)"
00:22.0,2015-05-23 01:00:22 UTC,-73.98390961,40.73829269,-73.9851532,40.75801086,4,,,,23-05-2015,01:00:22,UTC,,"(40.73829269,-73.98390961)"
01:46.0,2015-06-25 01:01:46 UTC,-73.97725677,40.76007462,-73.96750641,40.76013184,1,,,,25-06-2015,01:01:46,UTC,,"(40.76007462,-73.97725677)"
01:46.0,2015-06-25 01:01:46 UTC,-73.99636841,40.75673294,-73.97472382,40.74832153,1,,,,25-06-2015,01:01:46,UTC,,"(40.75673294,-73.99636841)"
01:46.0,2015-06-25 01:01:46 UTC,-73.98561096,40.74456024,-73.9815979,40.77857971,3,,,,25-06-2015,01:01:46,UTC,,"(40.74456024,-73.98561096)"
01:46.0,2015-06-25 01:01:46 UTC,-73.90552521,40.75265503,-73.864151,40.73709106,6,,,,25-06-2015,01:01:46,UTC,,"(40.75265503,-73.90552521)"
03:30.0,2013-02-11 01:03:30 UTC,-74.000913,40.729596,-73.977408,40.648265,1,,,,11-02-2013,01:03:30,UTC,,"(40.729596,-74.000913)"
04:08.0,2011-02-08 01:04:08 UTC,-73.992336,40.715117,-73.963107,40.711639,1,,,,08-02-2011,01:04:08,UTC,,"(40.715117,-73.992336)"
05:19.0,2015-01-31 01:05:19 UTC,-73.98657227,40.76192474,-73.91403198,40.76514053,1,,,,31-01-2015,01:05:19,UTC,,"(40.76192474,-73.98657227)"
05:19.0,2015-01-31 01:05:19 UTC,-73.99488831,40.73392487,-73.91495514,40.6876564,1,,,,31-01-2015,01:05:19,UTC,,"(40.73392487,-73.99488831)"
05:19.0,2015-01-31 01:05:19 UTC,-74.00023651,40.7288208,-73.98301697,40.72258377,1,,,,31-01-2015,01:05:19,UTC,,"(40.7288208,-74.00023651)"
05:19.0,2015-01-31 01:05:19 UTC,-73.98734283,40.74443436,-73.9956665,40.72165298,1,,,,31-01-2015,01:05:19,UTC,,"(40.74443436,-73.98734283)"
05:19.0,2015-01-31 01:05:19 UTC,-73.99828339,40.7244606,-73.9933548,40.72006989,1,,,,31-01-2015,01:05:19,UTC,,"(40.7244606,-73.99828339)"
05:19.0,2015-01-31 01:05:19 UTC,-74.00257874,40.7343483,-73.95541382,40.76850891,1,,,,31-01-2015,01:05:19,UTC,,"(40.7343483,-74.00257874)"
05:19.0,2015-01-31 01:05:19 UTC,-73.98557281,40.73543167,-73.93917847,40.80173111,6,,,,31-01-2015,01:05:19,UTC,,"(40.73543167,-73.98557281)"
06:05.0,2014-10-03 01:06:05 UTC,-73.985365,40.74493,-73.969717,40.758607,1,,,,03-10-2014,01:06:05,UTC,,"(40.74493,-73.985365)"
06:05.0,2014-10-03 01:06:05 UTC,-73.947538,40.703967,-73.95149,40.714057,1,,,,03-10-2014,01:06:05,UTC,,"(40.703967,-73.947538)"
06:17.0,2015-04-25 01:06:17 UTC,-74.00520325,40.74017334,-73.99136353,40.72767258,1,,,,25-04-2015,01:06:17,UTC,,"(40.74017334,-74.00520325)"
06:17.0,2015-04-25 01:06:17 UTC,-73.97263336,40.76246643,-73.98193359,40.76855469,1,,,,25-04-2015,01:06:17,UTC,,"(40.76246643,-73.97263336)"
06:17.0,2015-04-25 01:06:17 UTC,-73.9865036,40.73999405,-73.9779129,40.74564362,1,,,,25-04-2015,01:06:17,UTC,,"(40.73999405,-73.9865036)"
06:17.0,2015-04-25 01:06:17 UTC,-73.98119354,40.74435806,-73.99203491,40.72581482,1,,,,25-04-2015,01:06:17,UTC,,"(40.74435806,-73.98119354)"
06:17.0,2015-04-25 01:06:17 UTC,-73.95798492,40.72179031,-73.95011139,40.74385071,1,,,,25-04-2015,01:06:17,UTC,,"(40.72179031,-73.95798492)"
06:17.0,2015-04-25 01:06:17 UTC,-74.01506042,40.71480179,-73.99111938,40.75579071,2,,,,25-04-2015,01:06:17,UTC,,"(40.71480179,-74.01506042)"
06:17.0,2015-04-25 01:06:17 UTC,-73.98661041,40.76422882,-73.96559906,40.80550003,2,,,,25-04-2015,01:06:17,UTC,,"(40.76422882,-73.98661041)"
06:17.0,2015-04-25 01:06:17 UTC,-73.9728775,40.76414108,-73.92468262,40.73683167,5,,,,25-04-2015,01:06:17,UTC,,"(40.76414108,-73.9728775)"
06:25.0,2014-06-10 01:06:25 UTC,-73.948341,40.7449,-73.954547,40.691149,1,,,,10-06-2014,01:06:25,UTC,,"(40.7449,-73.948341)"
06:25.0,2014-06-10 01:06:25 UTC,-73.984041,40.762327,-74.017139,40.70755,1,,,,10-06-2014,01:06:25,UTC,,"(40.762327,-73.984041)"
06:25.0,2014-06-10 01:06:25 UTC,-73.988966,40.758374,-73.960686,40.605007,1,,,,10-06-2014,01:06:25,UTC,,"(40.758374,-73.988966)"
07:57.0,2011-06-12 01:07:57 UTC,-73.990239,40.738129,-73.960476,40.814715,1,,,,12-06-2011,01:07:57,UTC,,"(40.738129,-73.990239)"
07:57.0,2011-06-12 01:07:57 UTC,-73.990969,40.749933,-74.017819,40.707963,1,,,,12-06-2011,01:07:57,UTC,,"(40.749933,-73.990969)"
07:57.0,2011-06-12 01:07:57 UTC,-73.988351,40.73318,-73.988289,40.718644,2,,,,12-06-2011,01:07:57,UTC,,"(40.73318,-73.988351)"
